,Rainfall (mm),GWL (m),AMP,AMT
2019-05-23,7.5,-0.7087500000000001,0.06118530485995796,0.05693702914969657
2019-05-24,0.0,-0.6954166666666667,0.06123454517071786,0.05668226959525302
2019-05-25,0.0,-0.4070833333333333,0.06130311206452747,0.05698824191398961
2019-05-26,0.0,-0.03791666666666667,0.06137167895833709,0.0572942142327262
2019-05-27,2.0,-0.285,0.06144024585214671,0.0576001865514628
2019-05-28,39.5,-0.6279166666666667,0.06150881274595632,0.05790615887019939
2019-05-29,0.0,-0.6695833333333333,0.06138280699640749,0.05846161623959564
2019-05-30,0.0,-0.7283333333333334,0.06104530924320815,0.05928825301188285
2019-05-31,0.0,-0.6958333333333333,0.06070781149000881,0.06011488978417006
2019-06-01,3.5,-0.3154166666666667,0.060370313736809476,0.060941526556457265
2019-06-02,11.5,0.1225,0.06003281598361015,0.06176816332874447
2019-06-03,0.0,-0.22916666666666666,0.0598628042185893,0.06228997712318366
2019-06-04,8.5,-0.5641666666666666,0.059874842440718994,0.06248046159387501
2019-06-05,0.0,-0.6591666666666667,0.05988688066284869,0.06267094606456636
2019-06-06,0.0,-0.6974999999999999,0.05989891888497837,0.0628614305352577
2019-06-07,0.0,-0.25916666666666666,0.059910957107108066,0.06305191500594905
2019-06-08,0.0,0.12458333333333334,0.06064056797108742,0.06302809583920231
2019-06-09,0.0,0.12291666666666667,0.06215014909794684,0.06277133793610985
2019-06-10,26.0,-0.22999999999999998,0.06365973022480625,0.0625145800330174
2019-06-11,36.5,-0.4695833333333333,0.06516931135166568,0.06225782212992493
2019-06-12,46.0,-0.7000000000000001,0.0666788924785251,0.062001064226832464
2019-06-13,15.5,-1.1183333333333334,0.06840666344709914,0.06189409075601938
2019-06-14,13.5,-1.0804166666666666,0.07037159728710214,0.06194992645072736
2019-06-15,0.5,-0.7541666666666668,0.07233653112710513,0.06200576214543534
2019-06-16,0.0,-0.26,0.07430146496710814,0.06206159784014332
2019-06-17,20.0,-0.6437499999999999,0.07626639880711113,0.0621174335348513
2019-06-18,0.0,-1.0374999999999999,0.07770576534949222,0.06269648188953535
2019-06-19,0.0,-1.0904166666666668,0.07857386309011037,0.06384423965723685
2019-06-20,0.0,-1.1795833333333332,0.0794419608307285,0.06499199742493834
2019-06-21,0.0,-1.23,0.08031005857134665,0.06613975519263984
2019-06-22,0.0,-0.9020833333333332,0.0811781563119648,0.06728751296034134
2019-06-23,48.0,-0.44708333333333333,0.08148262955178241,0.06889977653258608
2019-06-24,47.0,-0.58875,0.0811744674646429,0.07101693771846478
2019-06-25,5.0,-1.00125,0.08086630537750339,0.07313409890434348
2019-06-26,0.0,-1.1025,0.08055814329036388,0.07525126009022218
2019-06-27,4.5,-1.1270833333333334,0.08024998120322437,0.07736842127610087
2019-06-28,0.0,-1.1466666666666667,0.07972510119267023,0.07922632604466599
2019-06-29,0.0,-0.6525,0.0789646582218828,0.08080243035962938
2019-06-30,1.0,-0.18500000000000003,0.07820421525109536,0.08237853467459277
2019-07-01,0.0,-0.5429166666666666,0.07744377228030792,0.08395463898955617
2019-07-02,0.0,-0.9108333333333333,0.07668332930952049,0.08553074330451955
2019-07-03,13.5,-1.0225,0.07587236581872508,0.08657450843529298
2019-07-04,1.0,-1.0258333333333334,0.07500648871922536,0.08703964401803382
2019-07-05,8.5,-1.0279166666666666,0.07414061161972564,0.08750477960077464
2019-07-06,26.0,-0.5441666666666667,0.07327473452022591,0.08796991518351549
2019-07-07,0.0,-0.13958333333333334,0.07240885742072618,0.08843505076625634
2019-07-08,0.0,-0.47500000000000003,0.07163044034275032,0.08838631551578598
2019-07-09,0.0,-0.8616666666666667,0.07094708850556124,0.0877790250118252
2019-07-10,29.0,-0.9383333333333334,0.07026373666837217,0.08717173450786442
2019-07-11,2.0,-0.7879166666666667,0.0695803848311831,0.08656444400390363
2019-07-12,0.0,-0.35833333333333334,0.06889703299399404,0.08595715349994286
2019-07-13,0.0,-0.035416666666666666,0.06829431032067516,0.08511351367276866
2019-07-14,0.0,0.15458333333333332,0.0677792280428674,0.08401297240731902
2019-07-15,0.0,-0.2383333333333333,0.06726414576505962,0.08291243114186936
2019-07-16,0.0,-0.5337500000000001,0.06674906348725186,0.0818118898764197
2019-07-17,0.0,-0.8491666666666666,0.06623398120944408,0.08071134861097005
2019-07-18,0.0,-0.9695833333333334,0.06574759084050252,0.07997053535932391
2019-07-19,0.0,-0.7929166666666667,0.06529238732902423,0.07962073081833375
2019-07-20,0.0,-0.4429166666666667,0.06483718381754594,0.07927092627734358
2019-07-21,0.0,-0.2841666666666667,0.06438198030606765,0.07892112173635342
2019-07-22,6.0,-0.3216666666666667,0.06392677679458934,0.07857131719536325
2019-07-23,0.0,-0.7033333333333333,0.0633900422697348,0.0786626938595426
2019-07-24,0.0,-0.9941666666666666,0.06276468707816692,0.07923361531194964
2019-07-25,0.0,-1.0220833333333335,0.06213933188659904,0.07980453676435668
2019-07-26,0.0,-1.2083333333333333,0.06151397669503117,0.08037545821676374
2019-07-27,3.5,-0.8962500000000001,0.060888621503463296,0.0809463796691708
2019-07-28,0.0,-0.4041666666666666,0.0604294137663629,0.08158213866939969
2019-07-29,0.0,-0.7133333333333334,0.060150801088466294,0.0822883732650871
2019-07-30,0.0,-1.1491666666666667,0.05987218841056968,0.08299460786077452
2019-07-31,0.0,-1.3370833333333334,0.05959357573267307,0.08370084245646192
2019-08-01,0.0,-1.3116666666666668,0.059314963054776466,0.08440707705214934
2019-08-02,0.0,-1.3429166666666665,0.05910625330876037,0.08416742597962305
2019-08-03,0.0,-0.9158333333333334,0.05897352501044048,0.08289963831121229
2019-08-04,0.0,-0.5658333333333333,0.05884079671212059,0.08163185064280154
2019-08-05,0.0,-0.9620833333333333,0.05870806841380071,0.08036406297439079
2019-08-06,0.0,-1.2562499999999999,0.05857534011548082,0.07909627530598003
2019-08-07,0.0,-1.39375,0.058275800103975685,0.07694022191251912
2019-08-08,3.5,-1.3483333333333334,0.057794943012921346,0.0738186622961776
2019-08-09,28.5,-1.3479166666666667,0.057314085921867014,0.07069710267983609
2019-08-10,0.0,-0.80375,0.05683322883081268,0.06757554306349457
2019-08-11,1.5,-0.4658333333333333,0.05635237173975835,0.06445398344715306
2019-08-12,16.5,-0.5991666666666667,0.05588686015550234,0.06162407989716059
2019-08-13,78.0,-1.0329166666666667,0.05543802846994014,0.05911119381059098
2019-08-14,1.5,-1.0966666666666667,0.05498919678437795,0.056598307724021385
2019-08-15,102.0,-1.1216666666666668,0.05454036509881576,0.05408542163745178
2019-08-16,17.0,-0.7695833333333333,0.05409153341325357,0.05157253555088218
2019-08-17,53.0,-0.28458333333333335,0.053835707668251694,0.05051684204353665
2019-08-18,22.5,-0.035416666666666666,0.053789670989076256,0.05104505351360861
2019-08-19,22.5,-0.3766666666666667,0.05374363430990082,0.051573264983680554
2019-08-20,1.0,-0.7029166666666667,0.053697597630725395,0.052101476453752495
2019-08-21,0.0,-0.7579166666666667,0.05365156095154996,0.05262968792382444
2019-08-22,0.0,-0.7487499999999999,0.05358468008912609,0.054267473836289104
2019-08-23,0.0,-0.7158333333333333,0.05349514250578002,0.057111318925267586
2019-08-24,0.0,-0.315,0.05340560492243394,0.05995516401424606
2019-08-25,4.0,0.2354166666666667,0.053316067339087864,0.06279900910322454
2019-08-26,0.0,-0.085,0.05322652975574179,0.06564285419220302
2019-08-27,0.0,-0.45249999999999996,0.05293650178670636,0.06829225588902164
2019-08-28,0.0,-0.6454166666666666,0.052428549485399885,0.07073030607262307
2019-08-29,0.0,-0.6775000000000001,0.05192059718409342,0.07316835625622449
2019-08-30,0.0,-0.7304166666666667,0.051412644882786955,0.0756064064398259
2019-08-31,0.0,-0.42375,0.05090469258148048,0.07804445662342732
2019-09-01,1.0,0.014166666666666668,0.05100718407425419,0.07970811226570511
2019-09-02,0.0,-0.2041666666666667,0.05177320143015851,0.08053003471089197
2019-09-03,0.0,-0.6145833333333334,0.052539218786062825,0.08135195715607883
2019-09-04,1.5,-0.7012499999999999,0.053305236141967145,0.08217387960126571
2019-09-05,0.0,-0.69875,0.05407125349787146,0.08299580204645257
2019-09-06,0.0,-0.79625,0.05506629283011578,0.08310894538068532
2019-09-07,0.0,-0.465,0.056310269093164445,0.082451676637794
2019-09-08,0.0,0.016666666666666666,0.05755424535621312,0.0817944078949027
2019-09-09,0.0,-0.34958333333333336,0.058798221619261785,0.08113713915201139
2019-09-10,0.0,-0.7108333333333333,0.06004219788231046,0.08047987040912008
2019-09-11,0.0,-0.8016666666666667,0.061139713226806086,0.0797450791390261
2019-09-12,0.0,-0.8529166666666667,0.0620780319207006,0.07892602425240754
2019-09-13,0.0,-0.46125,0.06301635061459511,0.07810696936578894
2019-09-14,0.0,-0.2041666666666667,0.06395466930848961,0.07728791447917036
2019-09-15,0.0,-0.05625,0.06489298800238412,0.07646885959255177
2019-09-16,0.0,-0.48333333333333334,0.06546761941184516,0.07593888185429541
2019-09-17,0.0,-0.8025000000000001,0.06564693855561764,0.07572311840773716
2019-09-18,0.0,-0.91125,0.06582625769939011,0.07550735496117889
2019-09-19,0.0,-0.9504166666666668,0.0660055768431626,0.07529159151462061
2019-09-20,0.0,-1.15875,0.06618489598693508,0.07507582806806234
2019-09-21,0.0,-0.5845833333333333,0.0664472862596625,0.0752129762320415
2019-09-22,0.0,-0.35375,0.06679997123777569,0.07573372397269175
2019-09-23,0.0,-0.7029166666666667,0.0671526562158889,0.07625447171334199
2019-09-24,0.0,-1.1495833333333334,0.0675053411940021,0.07677521945399224
2019-09-25,0.0,-1.1900000000000002,0.0678580261721153,0.07729596719464249
2019-09-26,0.0,-1.2854166666666667,0.06836304386439564,0.07787110765496254
2019-09-27,0.0,-0.96875,0.06903364059381414,0.07850537063666278
2019-09-28,0.0,-0.68375,0.06970423732323265,0.07913963361836304
2019-09-29,0.0,-0.5679166666666666,0.07037483405265117,0.0797738966000633
2019-09-30,0.5,-0.9545833333333333,0.0710454307820697,0.08040815958176355
2019-10-01,2.5,-1.2941666666666667,0.0711347260298216,0.08059368367894168
2019-10-02,0.0,-1.3358333333333334,0.07059217184097938,0.08029144811903054
2019-10-03,0.0,-1.4304166666666667,0.07004961765213714,0.07998921255911941
2019-10-04,0.0,-1.3941666666666668,0.06950706346329492,0.07968697699920828
2019-10-05,0.0,-1.1195833333333334,0.0689645092744527,0.07938474143929714
2019-10-06,0.0,-0.6583333333333333,0.0684429516474949,0.07880918768518382
2019-10-07,0.0,-0.9258333333333333,0.06794421637041151,0.07793654893737247
2019-10-08,0.0,-1.2741666666666667,0.06744548109332811,0.07706391018956112
2019-10-09,0.0,-1.3891666666666664,0.0669467458162447,0.07619127144174978
2019-10-10,0.0,-1.2458333333333333,0.06644801053916131,0.07531863269393843
2019-10-11,0.0,-0.7220833333333334,0.0657389454392932,0.07472359610621097
2019-10-12,0.0,-0.4558333333333333,0.06480126096683304,0.07443030099683555
2019-10-13,0.0,-0.34208333333333335,0.06386357649437287,0.07413700588746014
2019-10-14,0.0,-0.8758333333333334,0.0629258920219127,0.07384371077808473
2019-10-15,0.0,-1.3079166666666666,0.061988207549452536,0.07355041566870932
2019-10-16,0.0,-1.4029166666666668,0.061140581179619076,0.07362234852041462
